marca,modelo,preco_parcelado,preco_avista,parcelas,valor_parcela,url
Nathor,Bicicleta Aro 16 Nathor Top Girls Rosa Cesta,549.90,522.40,12x,45.82,https://www.darien.com.br/bicicleta-aro-16-nathor-top-girls-rosa-cesta
TSW,Bicicleta Aro 29 Tsw Rava Pressure 24V Preto/Cinza Mecanico,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretocinza-24v-mecanico
Nathor,Bicicleta Aro 26 Nathor Anthon 3V Nexus Cinza,2799.00,2659.05,12x,233.25,https://www.darien.com.br/Bicicleta-Aro-26-Nathor-Anthon-3V-Nexus-Cinza
Oggi,Bicicleta Aro 29 Oggi Hacker Sport Preto/Azul,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Mountain-Bike-Aro-29-Oggi-Hacker-Sport-2019-PretoAzul
Audax,Bicicleta Aro 29 Audax AUGE LT 02 (2021) Preto/Amarelo/Branco,11999.00,11399.05,12x,999.92,https://www.darien.com.br/bicicleta-aro-29-audax-auge-lt-02-2021-pretoamarelobranco
Oggi,"Bicicleta Oggi Cattura Sport Full Grafite, Preto e Vermelho",16999.00,16149.05,12x,1416.58,https://www.darien.com.br/bicicleta-oggi-cattura-sport-full-grafite-preto-e-vermelho
Redstone,Bicicleta Aro 29 Redstone Chroma 21V Preto Fosco,1999.90,1899.90,12x,166.66,https://www.darien.com.br/Bicicleta-Aro-29-Redstone-Chroma-21V-Preto-Fosco
,Bicicleta Aro 29 Sky 24V (F) Lilas/Preto Hidraulico,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-sky-24v-f-lilaspreto-hidraulico
Audax,Bicicleta Aro 29 Audax Havok SX (2020) Cinza/Laranja,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-29-audax-havok-sx-2020-cinzalaranja
Redstone,Bicicleta Aro 29 Redstone Nitro 24V Verde Anis/Preto,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-redstone-nitro-24v-verde-anispreto
TSW,Bicicleta Rava Storm Preto e Laranja,5599.00,5319.05,12x,466.58,https://www.darien.com.br/bicicleta-aro-29-rava-storm-limited-preto-laranja
Viking,Bicicleta Viking Tuff X-30,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-26-viking-tuff-x-30-t135-preto
Trinx,Bicicleta Aro 29 Trinx M100 Pro/Max 24V Preto/Verde/Amarelo,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-trinx-m100-promax-24v-pretoverdeamarelo
Audax,Bicicleta Aro 29 Audax Havok SX (2020) Cinza/Azul,2459.00,2336.05,12x,204.92,https://www.darien.com.br/produto/bicicleta-aro-29-audax-havok-sx-2020-cinzaazul.html
Magias Italiane,Bicicleta Aro 26 Magias Italiane July Lilas (2020) Eletrica Litio,5899.00,5604.05,12x,491.58,https://www.darien.com.br/Bicicleta-Aro-26-Magias-Italiane-July-Lilas-2019-Eletrica-Litio
TSW,Bicicleta Aro 29 TSW Hurry Especial 12V Cinza/Vermelho,6799.90,6459.90,12x,566.66,https://www.darien.com.br/bicicleta-aro-29-tsw-hurry-especial-12v-cinzavermelho
Oggi,Mountain Bike Aro 29 Oggi Float 5.0 (2020) Preta/Azul,2899.90,2754.90,12x,241.66,https://www.darien.com.br/produto/bicicleta-aro-29-oggi-float-50-2020-pretaazul.html
Oggi,Oggi Big Wheel 8.3,17999.00,17099.05,12x,1499.92,https://www.darien.com.br/oggi-big-wheel-83-steps-11v-2021
Magias Italiane,Bicicleta Aro 26 Magias Italiane July Preto (2020) Eletrica Litio,5899.00,5604.05,12x,491.58,https://www.darien.com.br/Bicicleta-Aro-26-Magias-Italiane-July-Preto-2019-Eletrica-Litio
Nathor,Bicicleta Aro 24 Nathor Apollo Aro Aluminio Preto/Verde,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-24-nathor-apollo-aro-aluminio-pretoverde
TSW,Bicicleta Aro 29 Tsw Rava Pressure 24V Preto/Verde/Azul Mecanico,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretoverdeazul-24v-mecanico
TSW,Bicicleta Rava Storm 12V Preto e Laranja,6299.90,5984.90,12x,524.99,https://www.darien.com.br/bicicleta-rava-storm-12v-preto-e-laranja
Nathor,Bicicleta Aro 12 Balance Nathor Fast Vermelho/Amarelo/Preto 100900160006,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-12-balance-nathor-fast-vermelhoamarelopreto
Audax,Bicicleta Aro 29 Audax FS900 GX Full (2020) Amarelo/Azul/Pre,2459.00,2336.05,12x,204.92,https://www.darien.com.br/Bicicleta-Aro-29-Audax-FS900-GX-Full-2020-AmareloAzulPre
Nathor,Bicicleta Aro 16 Nathor Apollo Aro Aluminio Preto/Azul,559.90,531.90,12x,46.66,https://www.darien.com.br/bicicleta-aro-16-nathor-apollo-aro-aluminio-pretoazul
Nathor,Bicicleta Aro 14 Nathor First Pro Feminina,599.90,569.90,12x,49.99,https://www.darien.com.br/Bicicleta-Aro-14-First-Pro-Feminina
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2020) Preto/Azul/Branco,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2020-pretoazulbranco
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2020) Preto/Amarelo/Azul,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2020-pretoamareloazul
Nathor,Bicicleta Aro 12 Balance Nathor Feminina Rosa Roxo,249.90,237.40,12x,20.82,https://www.darien.com.br/Bicicleta-Aro-12-Balance-Nathor-Feminina-Rosa-Roxo-80293
Magias Italiane,Bicicleta Aro 26 Magias Italiane July Branca (2020) Eletrica Litio,5899.00,5604.05,12x,491.58,https://www.darien.com.br/Bicicleta-Aro-26-Magias-Italiane-July-Branca-2019-Eletrica-Litio
Oggi,Bicicleta Oggi Cattura Sport Full Preto/Amarelo,16999.00,16149.05,12x,1416.58,https://www.darien.com.br/oggi-cattura-sport-full-deore-12v-2021-pretoamarelo
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2021),4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2021
Nathor,Bicicleta Aro 12 Balance Nathor Love Bege/Verde,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-12-balance-nathor-love-begeverde
Oggi,Bicicleta Aro 29 Oggi Hacker Sport Preto/Vermelho,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Hacker-Sport-2017-PretoVermelho
Caloi,Bicicleta Aro 29 Caloi Kaiena Sport (2019) Preto/Laranja,3499.90,3324.90,12x,291.66,https://www.darien.com.br/bicicleta-aro-29-caloi-kaiena-sport-2019-pretolaranja
Oggi,Bicicleta Aro 24 Oggi Hacker (2020*) Preto/2-Pin,2299.90,2184.90,12x,191.66,https://www.darien.com.br/bicicleta-aro-24-oggi-hacker-2020-preto2-pink
Nathor,Bicicleta Aro 20 Nathor Antonella Teen Verde Aqua,2799.00,2659.05,12x,233.25,https://www.darien.com.br/Bicicleta-Aro-20-Nathor-Antonella-Teen-Verde-Aqua
Mobele,Bicicleta Aro 26 Mobele Imperial 1V Verde 10115,2799.00,2659.05,12x,233.25,https://www.darien.com.br/bicicleta-aro-26-mobele-imperial-1v-verde-10115
Vicini,Bicicleta Aro 29 Vivatec Agile 20V T15 Preto/Prata/Vermelho,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/bicicleta-aro-29-vivatec-agile-20v-t15-pretopratavermelho
Totem,Bicicleta Aro 29 Usada Totem T19 V21 Branco,3999.90,3799.90,12x,333.32,https://www.darien.com.br/produto/bicicleta-aro-29-usada-totem-t19-v21-branco.html
Status,Bicicleta Aro 20 Status Cross Aero Grafite,2899.90,2754.90,12x,241.66,https://www.darien.com.br/bicicleta-aro-20-status-cross-aero-grafite
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2020) Preto/Vermelho/Branco,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2020-pretovermelhobranco
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.2 18V (2020) Preto/Pink/Grafite,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-72-18v-2020-pretopinkgrafite
Scott,Bicicleta Aro 29 Scott Spark 970 (2020) Preto/Amarelo,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/produto/bicicleta-aro-29-scott-spark-970-2020-pretoamarelo.html
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2021) Verde Aqua/Preto,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2021-verde-aquapreto
Houston,Bicicleta 26 Houston Foxer Hammer 21V Preto,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-26-houston-foxer-hammer-21v-preto
Oggi,Bicicleta Aro 29 Oggi Hacker HDS (*) Preto/Vermelho/Amarelo,2899.90,2754.90,12x,241.66,https://www.darien.com.br/bicicleta-aro-29-oggi-hacker-hds-2020-pretovermelhoamarelo
Cannondale,Bicicleta Aro 29 Cannondale Trail 2 Vermelho,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/bicicleta-aro-29-cannondale-trail-2-vermelho
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.1 Preto/Vermelho/Do,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-71-2021-pretovermelhodourado
Scott,Bicicleta Aro 29 Scott Aspect 950 (2020) Azul Escuro/Verde,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/Bicicleta-Aro-29-Scott-Aspect-950-2020-Azul-EscuroVerde
Oggi,Bicicleta Aro 29 Oggi Float Sport Preta/2-Pink,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-float-sport-preta2-pink
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2021) Preto/Dourado/Vermelho,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2021-pretodouradovermelho
Oggi,Bicicleta Aro 29 Oggi Float Sport (2020) Preta/Vermelho/Amarelo,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-float-sport-2020-pretavermelhoamarelo
Oggi,Bicicleta Aro 29 Oggi Hacker HDS (*) Preto/Verde/Graf,2899.90,2754.90,12x,241.66,https://www.darien.com.br/Mountain-Bike-Aro-29-Oggi-Hacker-HDS-2019-PretoVerdeGraf
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.3 (2021) 12V Vermelho/Amarelo,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-73-2021-12v-vermelhoamarelo
TSW,Bicicleta Aro 29 Tsw Rava Pressure Preto/Verde/Azul  21V Hidraulico 12143,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretoverdeazul-21v-hidraulico-12143
Sense,Bicicleta Aro 16 Sense Grom 2021 Aluminio/Aqua,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-16-sense-grom-2021-aluminioaqua
TSW,Bicicleta Aro 29 TSW Rava Ride Vermelho Fluor 21V Mecanico,2399.90,2279.90,12x,199.99,https://www.darien.com.br/produto/bicicleta-aro-29-tsw-rava-ride-vermelho-fluor-21v-mecanico.html
TSW,Bicicleta Aro 29 TSW Posh 21V Verde/Cinza,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-tsw-posh-21v-verdecinza
Trinx,Bicicleta Trinx M100 Pro Preto e Vermelho,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-trinx-m100-pro-24v-vermelhocinzapreto
Oggi,Bicicleta Aro 700 Eletrica Oggi E-Bike Lite Tour E-500 Branco/Preto,7999.90,7599.90,12x,666.66,https://www.darien.com.br/bicicleta-aro-700-eletrica-oggi-e-bike-lite-tour-e-500-brancopreto
Cannondale,Bicicleta Aro 700 Cannondale Adventure 3 T18.5 Roxo DCR201716414,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/bicicleta-aro-700-cannondale-adventure-3-roxo-dcr201716414
Dvorak,Bicicleta Aro 29 Dvorak 18V Hidraulico Azul/Preto,3399.90,3229.90,12x,283.32,https://www.darien.com.br/produto/bicicleta-aro-29-dvorak-18v-hidraulico-azulpreto.html
Focus,Bicicleta Aro 700 Usada Focus Cayo Speed 22V T54,6699.00,6364.05,12x,558.25,https://www.darien.com.br/bicicleta-aro-700-usada-focus-cayo-speed-22v-t54
