marca,modelo,preco_parcelado,preco_avista,parcelas,valor_parcela,url
Magias Italiane,Bicicleta Aro 26 Magias Italiane July Verde (2020) Eletrica Litio,5899.00,5604.05,12x,491.58,https://www.darien.com.br/Bicicleta-Aro-26-Magias-Italiane-July-Verde-2019-Eletrica-Litio
Redstone,Bicicleta Aro 29 Redstone Nitro 24V Preto/Rosa,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-redstone-nitro-24v-pretorosa
,Bicicleta Aro 29 Sky 24V (F) Azul/Preto Hidraulico,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-sky-24v-f-azulpreto-hidraulico
Status,Bicicleta Aro 26 Status Panda Bege/Marrom 76-088.002,2799.00,2659.05,12x,233.25,https://www.darien.com.br/bicicleta-aro-26-status-panda-begemarrom-76-088002
Oggi,Bicicleta Aro 29 Oggi Agile Sport Deore Carbono (2021) Vermelho/Preto,12999.90,12349.90,12x,1083.33,https://www.darien.com.br/produto/bicicleta-aro-29-oggi-agile-sport-deore-carbono-2021-vermelhopreto.html
Oggi,Bicicleta Aro 29 Oggi Hacker Sport (2020*) Vermelho/Preto,2299.90,2184.90,12x,191.66,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Hacker-Sport-2019-VermelhoPreto
TSW,Bicicleta Aro 29 TSW Posh 21V Rosa/Preto,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-tsw-posh-21v-rosapreto
TSW,Bicicleta Aro 29 Tsw Rava Pressure Preto/Vermelho/Violeta 24V Mecanico,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-pretovermelhovioleta-24v-mecanico
Audax,Bicicleta Aro 29 Audax ADX 300 (2020) Azul/Amarelo,2459.00,2336.05,12x,204.92,https://www.darien.com.br/Bicicleta-Aro-29-Audax-ADX-300-2020-AzulAmarelo
Trinx,Bicicleta Aro 29 Trinx M100 Pro/Max 24V Preto/Verde/Azul,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-29-trinx-m100-pro-24v-verdeazulpreto
Trinx,Bicicleta Aro 700 Trinx Speed Tempo 3.0 Cinza/Preto/Verde HC0506785,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-700-trinx-speed-tempo-30-cinzapretoverde
Nathor,Bicicleta Aro 16 Nathor Antonella Girl Aro Aluminio,549.90,522.40,12x,45.82,https://www.darien.com.br/bicicleta-aro-16-nathor-antonella-girl-aro-aluminio
Oggi,Bicicleta Aro 29 Oggi Agile Sport SX Carbono (2020) Preto/Vermelho,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Agile-Sport-SX-Carbono-2020-PretoVermelho
Caloi,Bicicleta Aro 29 Caloi Explorer Expert 2020 Marrom,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/Bicicleta-Aro-29-Caloi-Explorer-Expert-2020-Marrom-00408419004
Redstone,Bicicleta Aro 29 Redstone Taipan 21V Vermelho,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-29-redstone-taipan-21v-vermelho
Nathor,Bicicleta Aro 26 Nathor Anthon 3V Nexus Azul,2799.00,2659.05,12x,233.25,https://www.darien.com.br/bicicleta-aro-26-nathor-anthon-3v-nexus-azul
Redstone,Bicicleta Aro 29 Redstone Aborygen 24V Preto/Vermelho/Cinza,4199.90,3989.90,12x,349.99,https://www.darien.com.br/Bicicleta-Aro-29-Redstone-Aborygen-24V-PretoVermelhoCinza
Nathor,Bicicleta Aro 20 Nathor Apollo Preto/Laranja,559.90,531.90,12x,46.66,https://www.darien.com.br/bicicleta-aro-20-nathor-apollo-pretolaranja
Caloi,Bicicleta Aro 700 Usada Caloi V21 Cli: 5718,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-usada-caloi-v21-cli-5718
Mosso,Bicicleta Aro 26 Usada Mosso 21V T18 Branco/Lilas Cli.: 1529,5899.00,5604.05,12x,491.58,https://www.darien.com.br/bicicleta-aro-26-usada-mosso-21v-t18-brancolilas-cli-1529
Nathor,Bicicleta Aro 26 Nathor Antonella 3V Nexus Rosa,2799.00,2659.05,12x,233.25,https://www.darien.com.br/produto/bicicleta-aro-26-nathor-antonella-3v-nexus-rosa.html
Outros,Bicicleta Aro 26 Usada Urbana Kuston 6V Bege/Marrom Cli: 5482,2799.00,2659.05,12x,233.25,https://www.darien.com.br/produto/bicicleta-aro-26-usada-urbana-kuston-6v-begemarrom-cli-5482.html
Outros,Bicicleta Aro 29 Usada Gonew Endorphine 6.3 21V T21,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-usada-gonew-endorphine-63-21v-t21
Scott,Bicicleta Aro 29 Scott Scale 980 (2020) Preto/Vermelho,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/bicicleta-aro-29-scott-scale-980-2020-pretovermelho
Status,Bicicleta Aro 20 Status Cross Aero Preto Brilho,559.90,531.90,12x,46.66,https://www.darien.com.br/bicicleta-aro-20-status-cross-aero-preto-brilho
Nathor,Bicicleta Aro 24 Nathor Bella Aro Aluminio Preto/Rosa,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-24-nathor-bella-aro-aluminio-pretorosa
Sense,Bicicleta Aro 29 Eletrica Sense Impulse E-trail (2020) Cinza/Verde 160219,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-eletrica-sense-impulse-e-trail-2020-cinzaverde-160219
Mobele,Bicicleta Aro 700 Mobele City Azul Claro 21V,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-mobele-city-azul-claro-21v
Outros,Bicicleta Aro 29 Usada KLS V21 Preto/Verde,3999.90,3799.90,12x,333.32,https://www.darien.com.br/bicicleta-aro-29-usada-kls-v21-pretoverde
Outros,Bicicleta Aro 700 Usada Audax Ventus 2000 T54 V20,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-700-usada-audax-ventus-2000-t54-v20
Scott,Bicicleta Aro 29 Usada Scott Scale 900 12V T.L Preto/Branco/Amarela Cli 2035,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/bicicleta-aro-29-usada-scott-scale-900-12v-tl-pretobrancoamarela-cli-2035
Caloi,Bicicleta Aro 700 Usada Caloi 10 Speed T51 14V Preto/Dourado,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-usada-caloi-10-speed-t51-14v-pretodourado
Sense,Bicicleta Aro 20 Sense Impact 2020 Cinza/Azul/Vermelho 160215,1690.00,1605.50,12x,140.83,https://www.darien.com.br/bicicleta-aro-20-sense-impact-2020-cinzaazulvermelho-160215
Audax,Bicicleta Aro 29 Audax Havok NX (2020) Cinza/Amarelo,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-29-audax-havok-nx-2020-cinzaamarelo
Redstone,Bicicleta Aro 29 Redstone Aborygen 24V Preto/Verde/Cinza,4199.90,3989.90,12x,349.99,https://www.darien.com.br/Bicicleta-Aro-29-Redstone-Aborygen-24V-PretoVerdeCinza
Trinx,Bicicleta Aro 700 Trinx Speed Tempo 3.0 Cinza/Preto/Azul,2199.90,2089.90,12x,183.33,https://www.darien.com.br/bicicleta-aro-700-trinx-speed-tempo-30-cinzapretoazul
Audax,Bicicleta Aro 29 Audax Havok NX (2020) Cinza/Prata,2459.00,2336.05,12x,204.92,https://www.darien.com.br/bicicleta-aro-29-audax-havok-nx-2020-cinzaprata
Scott,Bicicleta Aro 29 Scott Scale 940 (2020) Preto/Vermelho,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/bicicleta-aro-29-scott-scale-940-2020-pretovermelho
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.0 (2021) Grafite/Preto/Verde,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-70-2021-grafitepretoverde
Oggi,Mountain Bike Aro 29 Oggi Hacker HDS (2021) Preto/Azul/Verde,2899.90,2754.90,12x,241.66,https://www.darien.com.br/mountain-bike-aro-29-oggi-hacker-hds-2020-pretoazulverde
Audax,Bicicleta Aro 29 Audax Auge 40 XO 202 Azul/Bco/Laranja,25469.00,24195.55,12x,2122.42,https://www.darien.com.br/Mountain-Bike-Aro-29-Audax-Auge-40-XO-AzulBrancoLaranja
Caloi,Bicicleta Aro 29 Caloi Kaiena Comp (2020) Chumbo/Verde,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-caloi-kaiena-comp-2020-chumboverde
Oggi,Bicicleta Aro 29 Eletrica Oggi Big Wheel 8.3 Steps 10V 2020,17999.00,17099.05,12x,1499.92,https://www.darien.com.br/bicicleta-aro-29-eletrica-oggi-big-wheel-83-steps-10v-2020
Scott,Bicicleta Aro 29 Usada Scott Spark RC 900 WC 12V T.S,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/bicicleta-aro-29-usada-scott-spark-rc-900-wc-12v-ts
Nathor,Bicicleta Aro 26 Nathor Anthon 3V Nexus Verde Militar,2799.00,2659.05,12x,233.25,https://www.darien.com.br/Bicicleta-Aro-26-Nathor-Anthon-3V-Nexus-Verde-Militar
TSW,Bicicleta Aro 29 Tsw Rava Pressure 27 Preto/Verm/Violeta,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-pressure-27-pretovermvioleta
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.1 Preto/Amarelo/Gra,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-71-2021-pretoamarelografite
Nathor,Bicicleta Aro 12 Balance Nathor Masculina 03 Azul/Preto,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-12-balance-nathor-masculina-03-azulpreto
Nathor,Bicicleta Aro 12 Balance Nathor Masculina Verde Preto Azul 80292,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-12-balance-nathor-masculina-verde-preto-azul-80292
Nathor,Bicicleta Aro 20 Nathor Grace Aro Aluminio Preto/Verde/Rosa,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-20-nathor-grace-aro-aluminio-pretoverderosa
Houston,Bicicleta 26 Houston Foxer Hammer 21V Vermelho,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-26-houston-foxer-hammer-21v-vermelho
Status,Bicicleta Aro 20 Status Cross Aero Azul Real,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-20-status-cross-aero-azul-real
Totem,Bicicleta Aro 29 Usada Totem T19 21V Preto/Azul/Amarelo,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-29-usada-totem-t19-21v-pretoazulamarelo
Outros,Bicicleta Aro 700 Usada Endorphine Speed 14V T56,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-usada-endorphine-speed-14v-t56
Heiland,Bicicleta Aro 29 Heiland Atria 21V Cinza/Roxo,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-heiland-atria-21v-cinzaroxo
Status,Bicicleta Aro 20 Status Cross Aero Verde Neon,2799.00,2659.05,12x,233.25,https://www.darien.com.br/bicicleta-aro-20-status-cross-aero-verde-neon
Caloi,Bicicleta Aro 26 Caloi Sport 21V Preto 007940.19000,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-26-caloi-sport-21v-preto-00794019000
Sense,Bicicleta Aro 29 Sense Fun Evo (2021) Aqua/Amarelo,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-sense-fun-evo-2021-aquaamarelo
Scott,Bicicleta Aro 29 Scott Scale 980 (2021) Cinza Escuro,17999.90,17099.90,12x,1499.99,https://www.darien.com.br/bicicleta-aro-29-scott-scale-980-2021-cinza-escuro
Sense,Bicicleta Aro 27.5 Eletrica Sense Impulse (2020) Cinza,1690.00,1605.50,12x,140.83,https://www.darien.com.br/bicicleta-aro-275-eletrica-sense-impulse-2020-cinza
Gts,Bicicleta Aro 26 Usada GTS 21V T21 Preto,1999.90,1899.90,12x,166.66,https://www.darien.com.br/bicicleta-aro-26-usada-gts-21v-t21-preto
Oggi,Bicicleta Aro 700 Eletrica Oggi Flex Steps 9V (2021) Preto/Cinza T16.5,12999.00,12349.05,12x,1083.25,https://www.darien.com.br/produto/bicicleta-aro-700-eletrica-oggi-flex-steps-9v-2021-pretocinza-t165.html
Redstone,Bicicleta Aro 29 Redstone Aquila 27V Azul/Branco/Vermelho,3499.90,3324.90,12x,291.66,https://www.darien.com.br/bicicleta-aro-29-redstone-aquila-27v-azulbrancovermelho
Scott,Bicicleta Aro 29 Scott Aspect 950 (2020) Vermelho/Preto,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/Bicicleta-Aro-29-Scott-Aspect-950-2020-VermelhoPreto
Magias Italiane,Bicicleta Aro 20 Dobravel Eletrica Rimini Magias Vermelho,14999.90,14249.90,12x,1249.99,https://www.darien.com.br/bicicleta-aro-20-dobravel-eletrica-rimini-magias-vermelho
Soul,Bicicleta Aro 26 Usada Soul T17 V21 Branco,5899.00,5604.05,12x,491.58,https://www.darien.com.br/bicicleta-aro-26-usada-soul-t17-v21-branco
Audax,Bicicleta Aro 29 Audax ADX 100 (2020) Vermelho,2459.00,2336.05,12x,204.92,https://www.darien.com.br/Bicicleta-Aro-29-Audax-ADX-100-2020-Vermelho
TSW,Bicicleta Aro 29 TSW Rava Vulcano 27V Hidráulico Preto/Amar,3199.90,3039.90,12x,266.66,https://www.darien.com.br/bicicleta-aro-29-tsw-rava-vulcano-27v-pretoamarelo
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.2 18V (2020) Grafite/Preto,4899.90,4654.90,12x,408.32,https://www.darien.com.br/Bicicleta-Aro-29-Oggi-Big-Wheel-72-2020-GrafitePreto
Euroquadros,Bicicleta Aro 700 City Kayoba Elegance Vit Branca,1999.00,1899.05,12x,166.58,https://www.darien.com.br/bicicleta-aro-700-city-kayoba-elegance-vit-branca
Redstone,Bicicleta Aro 29 Redstone Taipan 21V Azul/Amarelo,1999.90,1899.90,12x,166.66,https://www.darien.com.br/Bicicleta-Aro-29-Redstone-Taipan-21V-AzulAmarelo
Oggi,Mountain Bike Aro 29 Oggi Big Wheel 7.2 Grafite/Laranja,4899.90,4654.90,12x,408.32,https://www.darien.com.br/mountain-bike-aro-29-oggi-big-wheel-72-grafitelaranja
Oggi,Bicicleta Aro 29 Oggi Float 5.0 (2021) 24V Preta/Pink/Azul,2399.90,2279.90,12x,199.99,https://www.darien.com.br/bicicleta-aro-29-oggi-float-50-2021-24v-pretapinkazul
Outros,Bicicleta Aro 29 Usada Eletrica Paso T.19 7V Preto,3999.90,3799.90,12x,333.32,https://www.darien.com.br/bicicleta-aro-29-usada-eletrica-paso-t19-7v-preto
Audax,Bicicleta Aro 29 Audax AUGE 555 SX (2020) Preto/Amarelo,2459.00,2336.05,12x,204.92,https://www.darien.com.br/Bicicleta-Aro-29-Audax-AUGE-555-SX-2020-PretoAmarelo
TSW,Bicicleta Aro 29 Tsw Stamina Azul/Cinza/Preto,2099.90,1994.90,12x,174.99,https://www.darien.com.br/bicicleta-aro-29-tsw-stamina-azulcinzapreto
Sense,Bicicleta Aro 29 Sense Fun Comp (2021) Aluminio/Laranja,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/bicicleta-aro-29-sense-fun-comp-2021-aluminiolaranja
Scott,Bicicleta Aro 29 Scott Scale 970 (2020) Preto/Amarelo,15399.90,14629.90,12x,1283.33,https://www.darien.com.br/Bicicleta-Aro-29-Scott-Scale-970-2020-PretoAmarelo
Sense,Bicicleta Aro 29 Sense Impact Evo (2021) Aluminio/Verde,15990.00,15190.50,12x,1332.5,https://www.darien.com.br/produto/bicicleta-aro-29-sense-impact-evo-2021-aluminioverde.html
Mobele,Bicicleta Aro 700 Mobele Mobelinha Dourada,1999.00,1899.05,12x,166.58,https://www.darien.com.br/Bicicleta-Aro-700-Mobele-Mobelinha-Dourada-T15-7V-10033
Vicini,Bicicleta Aro 29 Usada Vivatec T15 V24 Preto/Branco/Vermelho,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/produto/bicicleta-aro-29-usada-vivatec-t15-v24-pretobrancovermelho.html
Dvorak,Bicicleta Aro 29 Dvorak 18V Hidraulico Preto/Azul,3399.90,3229.90,12x,283.32,https://www.darien.com.br/produto/bicicleta-aro-29-dvorak-18v-hidraulico-pretoazul.html
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.3 (2020) Vermelho/Amarelo,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-73-2020-vermelhoamarelo
Cannondale,Bicicleta Aro 29 Cannondale F-Si Carbon 3 Vermelho/Preto,21999.90,20899.90,12x,1833.33,https://www.darien.com.br/Mountain-Bike-Aro-29-Cannondale-F-Si-Carbon-3-VermelhoPreto
Redstone,Bicicleta Aro 29 Redstone Aborygen 27V Preto/Vermelho/Cinza,4199.90,3989.90,12x,349.99,https://www.darien.com.br/bicicleta-aro-29-redstone-aborygen-27v-pretovermelhocinza
Oggi,Bicicleta Aro 29 Oggi Big Wheel 7.4 (2020) Preto/Amarelo/Grafite,4899.90,4654.90,12x,408.32,https://www.darien.com.br/bicicleta-aro-29-oggi-big-wheel-74-2020-pretoamarelografite
Nathor,Bicicleta Aro 20 Nathor Army Aro Aluminio Verde,249.90,237.40,12x,20.82,https://www.darien.com.br/bicicleta-aro-20-nathor-army-aro-aluminio-verde
